,title,authors,objectives,problem,data,methods_techniques,results,abstract,Objectives,Problem,Data,Methods_Techniques,Results
51,Critical review on data-driven approaches for learning from accidents: Comparative analysis and future research,"Niu, Yi and Fan, Yunxiao and Ju, Xing",To be synthesized from abstract,Data-driven intelligent technologies are promoting a disruptive digital transformation of human soci,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Data-driven intelligent technologies are promoting a disruptive digital transformation of human society. Industrial accident prevention is also amid this change. Although many emerging technologies, such as machine learning (ML), are extensively employed in workplace safety, these approaches need to fit the intended safety purpose of accident analysis, risk assessment, adverse outcome prediction, or anomaly detection. Hence, examining the “real-world” need for accident prevention and the advantages of emerging data-driven methodologies to better integrate them is necessary. This study provides a systematic review to clarify the current research status, existing problems, and future insights into these evolving technologies in accident prevention. We present notable gaps and barriers in data-driven accident prevention by analyzing 194 published studies from four perspectives: Paradigm, Model, Data Source, and Purpose. The results demonstrate (1) lack of a systematic framework to guide the application of Big Data (BD) in the field of safety; (2) few prior studies have considered model interpretability; (3) more proactive data needs to be incorporated into accident analysis; (4) safety-related data and domain knowledge need to be further integrated; (5) some recent data-driven techniques are unexplored in safety science. Further, the future research opportunities are discussed based on these findings. Such review may help clarify the mapping of data-driven tasks to safety goals to accelerate the uptake of data-driven technologies in safety or accident analysis research. © 2023 Elsevier Ltd","The main purpose of this study was to provide a systematic review to clarify the current research status, existing problems, and future insights into evolving data-driven technologies in accident prevention. ",The challenge addressed was the need to examine the real-world need for accident prevention and the advantages of emerging data-driven methodologies to better integrate them into workplace safety.,"The data analyzed in the study included 194 published studies that were evaluated from four perspectives: Paradigm, Model, Data Source, and Purpose. ","The method applied was a systematic review of relevant literature to identify gaps, barriers, and the current status of data-driven technologies in accident prevention. ","The study revealed several key findings: 1. There is a lack of a systematic framework to guide the application of Big Data in safety. 2. Few previous studies have considered model interpretability. 3. There is a need for more proactive data integration into accident analysis. 4. Safety-related data and domain knowledge need further integration. 5. Some recent data-driven techniques remain unexplored in safety science. Additionally, the study discussed future research opportunities based on these findings."
52,Machine learning approach to determine the decision rules in ergonomic assessment of working posture in sewing machine operators,"Su, Jun-Ming and Chang, Jer-Hao and Indrayani, Ni Luh Dwi and Wang, Chi-Jane","Introduction: There are some inherent problems with the use of observation methods in the ergonomic assessment of working posture, namely the stabilit",Introduction: There are some inherent problems with the use of observation methods in the ergonomic,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Introduction: There are some inherent problems with the use of observation methods in the ergonomic assessment of working posture, namely the stability and precision of the measurements. This study aims to use a machine learning (ML) approach to avoid the subjectivity bias of observational methods in ergonomic assessments and further identify risk patterns for work-related musculoskeletal disorders (WMSDs) among sewing machine operators. Methods: We proposed a decision tree analysis scheme for ergonomic assessment in working postures (DTAS-EAWP). First, DTAS-EAWP used computer vision-based technology to detect the body movement angles from the on-site working videos to generate a dataset of risk scores through the criteria of Rapid Entire Body Assessment (REBA) for sewing machine operators. Second, data mining techniques (WEKA) using the C4.5 algorithm were used to construct a representative decision tree (RDT) with paths of various risk levels, and attribute importance analysis was performed to determine the critical body segments for WMSDs. Results: DTAS-EAWP was able to recognize 11,211 samples of continuous working postures in sewing machine operation and calculate the corresponding final REBA scores. A total of 13 decision rules were constructed in the RDT, with over 95% prediction accuracy and 83% path coverage, to depict the possible risk tendency in the working postures. Through RDT and attribute importance analysis, it was identified that the lower arm and the upper arms exhibited as critical segments that significantly increased the risk levels for WMSDs. Conclusions: This study demonstrates that ML approach with computer vision-based estimation and DT analysis are feasible for comprehensively exploring the decision rules in ergonomic assessment of working postures for risk prediction of WMSDs in sewing machine operators. Practical Applications: This DTAS-EAWP can be applied in manufacturing industries to automatically analyze working postures and identify risk patterns of WMSDs, leading to the development of effectively preventive interventions. © 2023",The study aimed to use a machine learning approach to eliminate subjective bias from traditional observational methods in ergonomic assessments and identify risk patterns for work-related musculoskeletal disorders (WMSDs) among sewing machine operators.,The main challenge addressed is the instability and imprecision associated with traditional observational methods used in ergonomic assessments of working postures.,"The data utilized in the study included 11,211 samples of continuous working postures from sewing machine operators, collected through computer vision-based technology from on-site working videos. ",The study introduced a decision tree analysis scheme for ergonomic assessment in working postures (DTAS-EAWP). This involved using computer vision to detect body movement angles and generate a dataset of risk scores using Rapid Entire Body Assessment (REBA) criteria. Data mining techniques employing the WEKA software and C4.5 algorithm were used to construct a representative decision tree (RDT) which identified various risk levels and critical body segments that significantly influence WMSD risk.,"The DTAS-EAWP successfully calculated final REBA scores, constructed 13 decision rules within the RDT with over 95% prediction accuracy and 83% path coverage detailing risk tendencies in working postures. Critical body segments impacting risk levels, notably the lower and upper arms, were identified. This machine learning approach proved feasible for comprehensively exploring decision rules in ergonomic risk assessment of working postures among sewing machine operators."
53,A Comprehensive Approach to Real-time Site Monitoring and Risk Assessment in Construction Settings using Internet of Things and Artificial Intelligence,"Kumar, G.S. Arun and Roy, Ajay and Singh, Rajesh and Gehlot, Anita and Iqbal, Mohammed Ismail and Akram, Shaik Vaseem","In recent years, technological developments have peaked; more and more technologies are being introduced frequently and implemented into various secto",Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"In recent years, technological developments have peaked; more and more technologies are being introduced frequently and implemented into various sectors through applications not previously imagined. The Internet of Things (IoT) and Artificial Intelligence (AI) are two technologies that have significantly impacted several industries such as Healthcare, Military, Transport, Construction, etc. As we know, on the one hand, construction sites are one of the most happening industries in this era due to significant developments like intelligent infrastructure, smart cities, etc. in the other hand, the construction industry is known for its complex and hazardous work environments which as a result are prone to numerous safety hazards and risk factors that can result in accidents, injuries, or even fatalities. Traditional monitoring and risk assessment approaches often fall short of providing real-time insights. However, by implementing cutting-edge technology stacks like IoT and AI, real-time site monitoring and risk assessment have become achievable, allowing construction companies to address potential dangers and improve safety measures proactively. By leveraging technologies, construction sites can collect real-time data, tracking equipment performance, site conditions, and worker safety. Along with this, the integration of AI enables advanced risk assessment methodologies, predicting potential hazards and identifying risks that may otherwise go unnoticed. This article will discuss a comprehensive approach to real-time site monitoring and risk assessment in construction settings using the Internet of Things (IoT) and Artificial Intelligence (AI). Our objective will be to design and develop a robust architecture of IoT nodes/devices that will communicate and extract real-time data of several parameters. Those data will then be analyzed using an artificial intelligence model to gain meaningful insight into the present condition and for risk assessment to prevent any danger to any human or asset and improve the efficiency of the work environment in specific noticeable metrics. © 2023 Seventh Sense Research Group®",The objective of the study is to design and develop a robust architecture of IoT nodes/devices that communicate and extract real-time data from construction sites. This data is then analyzed using AI models for risk assessment to enhance safety and improve work environment efficiency.,"The study addresses the limitations of traditional monitoring and risk assessment approaches in construction, which often lack real-time insights and proactive hazard identification, leading to accidents, injuries, and fatalities."," The study proposes collecting real-time data related to equipment performance, site conditions, and worker safety through IoT devices installed at construction sites.","The study utilizes a combination of IoT for real-time data collection and AI for advanced risk assessment methodologies. AI models are employed to analyze the data, predict potential hazards, and identify risks that may not be detected by traditional methods.","The integration of IoT and AI enables proactive safety measures and improved efficiency at construction sites by providing real-time insights into site conditions, equipment performance, and worker safety, potentially reducing accidents and improving overall safety."
54,Fuzzy logic-based decision support system for automating ergonomics risk assessments,"Ramaswamy Govindan, Aswin and Li, Xinming",To be synthesized from abstract,Problem described in context,Data inferred from methods,Methods described in abstract,Results summarized from abstract,"Workers in the modular construction industry are frequently exposed to ergonomic risks, which may lead to injuries and lower productivity. In light of this, researchers have proposed a number of ergonomics risk assessment methods to identify design flaws in work systems, thereby reducing ergonomic discomfort and boosting workplace productivity. However, organizations often disregard ergonomics risk assessments due to a lack of convenient tools and knowledge. Therefore, this study proposes a fuzzy logic-based decision support system to help practitioners to automatically and comprehensively assess the ergonomic performance of work systems. For comprehensive assessment of ergonomic risk, the proposed decision support system considers physical, environmental, and sensory factors. Specifically, the decision support system comprises eight fuzzy expert systems that output a composite risk score, called an “ergonomic risk indicator”, that indicates the overall level of ergonomic risk present in a given work system. The performance of the proposed decision support system is then evaluated using a real-world case study in a modular construction facility by comparing the results of the decision support system with the facility's occupational injury reports. The results prove the effectiveness of the decision support system. Overall, the decision support system is capable of generating a composite risk score, the ergonomic risk indicator, and the proposed high-level architecture and design represent significant contributions for the enhancement of health and safety in the modular construction industry. © 2023 Elsevier B.V.",The main goal of this study was to propose and evaluate a fuzzy logic-based decision support system that assists practitioners in automatically assessing the ergonomic performance of work systems in the modular construction industry.,"The study addressed the issue of frequent ergonomic risks in the modular construction industry, which often lead to injuries and decreased productivity. A significant challenge is that existing ergonomic risk assessments are often overlooked by organizations due to the absence of convenient assessment tools and sufficient knowledge. ","The study utilized data from a real-world case study in a modular construction facility, including the facility's occupational injury reports. ","The study employed fuzzy logic to create a decision support system comprising eight fuzzy expert systems. These systems generate a composite risk score known as the ""ergonomic risk indicator,"" which reflects the overall level of ergonomic risk in work systems. The decision support system evaluates various risk factors such as physical, environmental, and sensory elements. ","The proposed decision support system was successful in providing a comprehensive assessment of ergonomic risk as evidenced by its performance in the real-world case study, where results correlated with actual injury reports. The system effectively generated a composite risk score that indicates the overall ergonomic risk, confirming its effectiveness and utility in enhancing health and safety in the modular construction industry."
55,Use of machine learning for prevention of incidents and reduction of occupational risks at the workplace,"Kuleshov, V.V. and Aygumov, T.G. and Zolkin, A.L. and Tychkov, A.S. and Bityutskiy, A.S.",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"This article examines the use of machine learning to prevent incidents and occupational hazards at the workplace. The authors have analyzed existing research in this area and have demonstrated the possibility of use of the machine learning to predict risks and prevent incidents. Specifically, the authors studied the methods of logical regression and classification to analyze data on past incidents. The results of the study showed that the use of machine learning can significantly improve the accuracy of risk prediction and enable more effective incident prevention. The importance of introduction of machine learning is discussed in the context of workplace safety and directions for further research are suggested. Overall, the article is an important addition to the general literature on the use of machine learning in the field of workplace safety and provides an opportunity to better understand the background and improve the accuracy of risk prediction and incident prevention at the workplace. The study is of interest to scientists, practitioners and politicians involved in workplace safety, as well as to those who are involved in the development and implementation of machine learning systems. © 2023 SPIE.",The main purpose of the study was to explore the application of machine learning techniques in predicting risks and preventing incidents in workplaces.,The study addresses the challenge of incident and occupational hazard prevention at the workplace through effective risk prediction.,The study utilized data on past incidents to analyze and predict future risks.,"The methods analyzed in this study included logical regression and classification, which were used to predict risks based on the available data. ","The findings indicated that machine learning significantly enhances the accuracy of risk prediction, thereby facilitating more effective incident prevention strategies."
56,Assisting in the identification of ergonomic risks for workers: a large vision-language model approach,"Fan, Chao and Mei, Qipei and Li, Xinming",To be synthesized from abstract,"In the construction industry, due to workers frequently engaging in highly physically demanding task",Data described in abstract,Methods described in abstract,Results summarized from abstract,"In the construction industry, due to workers frequently engaging in highly physically demanding tasks and using various tools, workers are often exposed to ergonomic risks and safety hazards. Various observation-based traditional or computer vision-based artificial intelligence methods have been applied in the field of construction to assess ergonomic risks. However, the method of assessing ergonomic risks using Generative Pretrained Transformers (GPT) based visual language models has not been thoroughly explored. This study explores its unique ability in visual-text interaction to extract ergonomic risk information from images and generate corresponding human-like language descriptions. To test the feasibility and performance of the proposed method, two datasets were created. Each dataset contained 100 different scenarios with ergonomic risk information for finetuning and testing. Performance after finetuning the vision-language model with the finetuning dataset outperformed the model before finetuning; the results showed that the fine-tuned model achieved an accuracy of 81%, while the model before finetuning only achieved 28% accuracy. Therefore, the proposed method offers an automated, real-time, non-traditional artificial intelligence approach for identifying ergonomic risks and providing human-like language descriptions. This expands the perspective of health and safety-related problem-solving and promotes the prevention of work-related musculoskeletal disorders (WMSD) in the construction industry. © 2024 ISARC. All Rights Reserved.",The objective of this study is to explore the use of Generative Pretrained Transformers (GPT)-based visual language models to assess ergonomic risks in the construction industry and generate human-like language descriptions of those risks from images.,"The study addresses the challenge of ergonomic risks and safety hazards that construction workers face due to physically demanding tasks and the use of various tools. Traditional observation-based and AI methods for assessing these risks have limitations, especially in providing real-time and descriptive analysis.","Two datasets were created, each containing 100 different scenarios with ergonomic risk information, for finetuning and testing the performance of the proposed vision-language model.",The study involves finetuning a GPT-based visual language model on the ergonomic risk data. This model processes images to extract ergonomic risk information and generates human-like text descriptions of the risks. The method was tested using a dataset for finetuning and evaluation.,"The fine-tuned model achieved an accuracy of 81%, significantly outperforming the model before finetuning, which had an accuracy of 28%. The method provides an automated, real-time solution for identifying ergonomic risks, potentially improving the prevention of work-related musculoskeletal disorders (WMSD) in construction settings."
57,Towards mental load assessment for high-risk works driven by psychophysiological data: Combining a 1D-CNN model with random forest feature selection,"Hao, Tengteng and Xu, Kaili and Zheng, Xin and Li, Jishuo and Chen, Shoukun and Nie, Wen",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"The psychophysiological state of workers in high-risk industries can affect their work efficiency and overall well-being, representing one of the major causes of catastrophic industrial accidents. Mental load is closely associated with the psychological state of workers. This study explores the potential of deep learning (DL) in classifying and recognizing mental load by collecting physiological signals of workers engaged in hazardous operations. Thirty chemical and safety professionals were selected for data collection, including electroencephalography (EEG), photoplethysmography (PPG), and electrooculography (EOG) signals, and extracting physiological indexes, a combination of four feature selection and extraction techniques is employed for multi-modal information fusion and feature dimensionality reduction. DL and traditional machine learning (ML) techniques are utilized to construct a mental load recognition model, and the performance of the model is evaluated using six reliable metrics. The results show that sensitivity testing successfully induced mental load state, with significant changes in EEG, PPG, and EOG indexes. Feature dimensionality reduction can improve the recognition effect and random forest feature selection (RFS) is the best method. Multi-modal information fusion and feature dimensionality reduction are effective methods for improving mental load recognition. The combination of RFS and 1D-convolutional neural network (1D-CNN) model delivers excellent recognition effectiveness, with an overall accuracy of 90.67% and a high mental load recognition accuracy of 95%. Our research can be applied in engineering production to guide occupational suitability and personnel selection, psychological training, and the adjustment of personnel in critical positions in high-risk industries such as chemical, mining, and construction. © 2024 Elsevier Ltd","The main purpose of the study was to explore the potential of deep learning in classifying and recognizing the mental load in workers engaged in hazardous operations, aiming to enhance occupational suitability, psychological training, and personnel adjustments in high-risk industries. ","The study addresses the problem of how the psychophysiological state of workers in high-risk industries, influenced by mental load, impacts work efficiency, overall well-being, and safety, contributing to industrial accidents. ","The study collected physiological data from thirty chemical and safety professionals. The data included electroencephalography (EEG), photoplethysmography (PPG), and electrooculography (EOG) signals. ",The study employed a combination of four feature selection and extraction techniques for multi-modal information fusion and feature dimensionality reduction. Both deep learning (DL) and traditional machine learning (ML) techniques were utilized to construct a mental load recognition model. The performance of the model was evaluated using six reliable metrics.,"The study found that sensitivity testing successfully induced mental load states, causing significant changes in EEG, PPG, and EOG indexes. Feature dimensionality reduction improved recognition effectiveness, with Random Forest Feature Selection (RFS) highlighted as the best method. The combination of RFS and a 1D-convolutional neural network (1D-CNN) model demonstrated excellent recognition effectiveness, achieving an overall accuracy of 90.67% and a high mental load recognition accuracy of 95%."
58,Assessing occupational hazards in welding operations: A machine learning-based approach for worker safety in Indian foundries,"Garg, Mudit and Das, Gurumukh and Vuppuluri, Prem Prakash","BACKGROUND: Quantitatively analyzing the impact of UV radiation and noise during welding operations is essential to assess the exposure, identify pote",BACKGROUND: Quantitatively analyzing the impact of UV radiation and noise during welding operations,Data described in abstract,Methods described in abstract,Results summarized from abstract,"BACKGROUND: Quantitatively analyzing the impact of UV radiation and noise during welding operations is essential to assess the exposure, identify potential hazards, and develop targeted safety protocols to ensure worker safety and adherence to safety regulations, especially in developing countries with inadequate adherence to safety standards and resources. OBJECTIVES: This study employs machine learning for predicting ultraviolet radiation and noise levels during welding, emphasizing worker safety. The focus is on the Indian foundry sector to gauge actual exposure vis-á-vis safety standards. MATERIALS AND METHODS: Ultraviolet radiation and noise emitted during the welding of a ferrous alloy were collected from three foundries in Agra, India. Five machine learning (ML) algorithms were applied for data analysis and prediction of UV radiation and noise levels, and a relative performance comparison was carried out on the compiled data against safety standards. RESULTS: Out of all the ML algorithms applied, the Support Vector Machine regression algorithm (RMSE = 356.93) obtained the best performance on UV radiation data, and the Random Forest algorithm (RMSE = 11.4) was found to give the best results for the noise level prediction task. CONCLUSIONS: This work represents the first known application of machine learning techniques for predicting UV radiation and noise levels in arc welding processes. The results show the efficacy of algorithms such as SVM regression and Random Forest for the problem. Further, the datasets and ML algorithms implemented in the work will be made openly available to support further research endeavors in this and related areas.","The main purpose of this study was to employ machine learning techniques to predict ultraviolet (UV) radiation and noise levels during welding operations, with a focus on enhancing worker safety in the Indian foundry sector. ","The study addressed the challenge of assessing the actual exposure of workers to UV radiation and noise in welding operations, especially in the context of evaluating compliance with safety standards in developing countries where adherence to these standards is often inadequate. ","The data used in the study included measurements of UV radiation and noise levels collected from the welding of a ferrous alloy in three different foundries located in Agra, India. ",Five different machine learning algorithms were applied to analyze the data and predict the levels of UV radiation and noise. These algorithms were then evaluated to compare their performance relative to safety standards.,"The study found that the Support Vector Machine (SVM) regression algorithm performed best for predicting UV radiation levels, with a Root Mean Square Error (RMSE) of 356.93, whereas the Random Forest algorithm was most effective for noise level prediction, achieving an RMSE of 11.4. These results demonstrate the utility of these algorithms in predicting exposure levels in welding operations."
59,Machine Learning Techniques for Predicting Health Risk of Mining Vehicle Operators Subjected to Whole-Body Vibration,"Sharma, Amit and Mandal, Bibhuti Bhusan and Tewari, Monika","Occupational health and safety in mining operations hold paramount importance, encompassing multifaceted aspects aimed at ensuring the well-being of w",Problem described in context,Data described in abstract,Methods described in abstract,Results summarized from abstract,"Occupational health and safety in mining operations hold paramount importance, encompassing multifaceted aspects aimed at ensuring the well-being of workers. Prolonged whole-body vibration (WBV) exposure among mining vehicle operators has been associated with a range of adverse health effects, most notably musculoskeletal disorders (MSDs) such as chronic low back pain and lumbar disc herniation. This study aims to develop a predictive model utilizing machine learning techniques, specifically Artificial Neural Networks (ANNs), to forecast the health risk associated with WBV exposure under different operational conditions. The vibration data of the tippers were acquired during its routine operation in an opencast mine in central India. The dataset encompassed various operational factors, including haul road type, operator weight, speed, and payload, under which an ANN model was trained to predict the resulting vibration exposure magnitude. ANN model was developed using Multilayer Perceptron (MLP) architecture to predict the health risk. Backpropagation was used to adjust the weights of the connections between neurons in order to minimize the difference between predicted and actual output. 70% of the total data was used for training and the others for data testing (15%) and validation (15%). The correlation coefficient for the training and test of the optimum network were found to be 97.58% and 97.4%, respectively indicating an excellent correlation between the predicted frequency weighted root mean square acceleration (awrms) for both training and test stages. AI has revolutionized the mining industry, bringing digitization and automation to the forefront. The predictive model presented here for WBV-related health risks is a powerful tool for mine safety engineering. By harnessing machine learning techniques, it improves risk assessment and enables targeted interventions, improving the quality of life of the mining workforce. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.",The main purpose of this study is to develop a predictive model using Artificial Neural Networks (ANNs) to forecast the health risks associated with whole-body vibration (WBV) exposure among mining vehicle operators under various operational conditions.,"The study addresses the challenge of prolonged WBV exposure in mining operations, which is linked to adverse health effects such as musculoskeletal disorders, including chronic low back pain and lumbar disc herniation. ","The data used in the study includes vibration data collected from tippers during routine operations at an opencast mine in central India. The dataset contains various operational factors such as haul road type, operator weight, speed, and payload. ","The methods used in the study include the development of an ANN model with a Multilayer Perceptron (MLP) architecture. The model predicts the magnitude of vibration exposure, utilizing backpropagation to adjust neuron connection weights and minimize output prediction errors. The data was split with 70% used for training, and the remaining 30% for testing and validation. ","The study found that the ANN model showed an excellent correlation between predicted and actual frequency weighted root mean square acceleration (awrms), with correlation coefficients of 97.58% for the training stage and 97.4% for the testing stage, indicating the model’s high predictive accuracy in assessing health risks associated with WBV in mining vehicle operations."
60,Designing Digital Twin with IoT and AI in Warehouse to Support Optimization and Safety in Engineer-to-Order Manufacturing Process for Prefabricated Building Products,"Pracucci, Alessandro","Engineer-to-order manufacturing, characterized by highly customized products and complex workflows, presents unique challenges for warehouse managemen","Engineer-to-order manufacturing, characterized by highly customized products and complex workflows, ",Data described in abstract,Methods described in abstract,Results summarized from abstract,"Engineer-to-order manufacturing, characterized by highly customized products and complex workflows, presents unique challenges for warehouse management and operational efficiency. This paper explores the potential of a digital twin as a transformative solution for engineer-to-order environments in manufacturing companies realizing prefabricated building components. This paper outlines a methodology encompassing users’ requirements and the design to support the development of a digital twin that integrates Internet of Things devices, Building Information Modeling, and artificial intelligence capabilities. It delves into the specific challenges of outdoor warehouse optimization and worker safety within the context of engineer-to-order manufacturing, and how the digital twin aims to address these issues through data collection, analysis, and visualization. The research is conducted through an in-depth analysis of the warehouse of Focchi S.p.A., a leading manufacturer of high-tech prefabricated building envelopes. Focchi’s production processes and stakeholder interactions are investigated, and the paper identifies key user groups and their multiple requirements for warehouse improvement. It also examines the potential of the digital twin to streamline communication, improve decision-making, and enhance safety protocols. While preliminary testing results are not yet available, the paper concludes by underlining the significant opportunities offered by a BIM-, IoT-, and AI-powered digital twin for engineer-to-order manufacturers. This research, developed within the IRIS project, serves as a promising model for integrating digital technologies into complex warehouse environments, paving the way for increased efficiency, safety, and ultimately, a competitive edge in the market of manufacturing companies working in the construction industry. © 2024 by the author.","The main purpose of this study is to explore the use of a digital twin technology to transform warehouse management and operational efficiency in engineer-to-order manufacturing environments, specifically companies creating prefabricated building components. ","The study addresses the challenges of highly customized product workflows and complex operations in engineer-to-order manufacturing, focusing on outdoor warehouse optimization and worker safety. ","The research utilizes in-depth analysis of the warehouse operations at Focchi S.p.A., a leader in manufacturing high-tech prefabricated building envelopes. ","The study outlines a methodology that integrates Internet of Things (IoT) devices, Building Information Modeling (BIM), and artificial intelligence to design and develop a digital twin. The methodology incorporates gathering and analyzing user requirements and designing for stakeholder interactions in the warehouse environment. ","Although preliminary testing results are not yet provided, the study identifies the potential of a BIM-, IoT-, and AI-integrated digital twin to streamline communication, enhance decision-making processes, and improve safety protocols in engineer-to-order manufacturing warehouses. The digital twin is recognized as a promising tool for increasing operational efficiency and safety, offering significant competitive advantages in the manufacturing industry."
61,A human-centric system combining smartwatch and LiDAR data to assess the risk of musculoskeletal disorders and improve ergonomics of Industry 5.0 manufacturing workers,"Pistolesi, Francesco and Baldassini, Michele and Lazzerini, Beatrice",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods described in abstract,Results inferred from discussion,"More than one in four workers reportedly suffer from back pain worldwide, leading to 264 million work days lost yearly. In the U.S. alone, it causes $50 billion in healthcare costs every year, up to $100 billion if including decreased productivity and lost wages. The upcoming Industry 5.0 revolution will introduce human-centric manufacturing systems where workers’ well-being comes first while safeguarding their rights: privacy, autonomy, and human dignity. This paper presents a privacy-preserving system based on artificial intelligence that tracks the posture of assembly/disassembly line workers while performing typical standardized tasks on repeat: connecting and separating parts; screwing and unscrewing using an electric screwdriver; tin soldering and unsoldering. The proposed solution assesses the upper-body (dominant arm, dominant shoulder, and trunk) and lower-body (legs) postures according to the ISO 11226 European standard, based on inertial data recorded by a smartwatch and using Laser imaging Detection and Ranging (LiDAR), respectively. These techniques preserve privacy as they collect data that cannot reveal the worker's identity or sensitive information. Experiments showed that the system recognized a worker's posture with a mean accuracy close to 98%. The system could help detect bad posture habits and reduce the chances of musculoskeletal disorders while preserving the workers’ privacy, in compliance with the upcoming Industry 5.0 paradigm. © 2023","The study aimed to develop a privacy-preserving system that tracks and assesses the posture of assembly/disassembly line workers using artificial intelligence, aligning with the human-centric principles of the upcoming Industry 5.0 revolution. ","The study addresses the problem of back pain among workers, which results in significant economic costs due to lost work days and healthcare expenses, while also needing to respect worker privacy and autonomy. ","The system utilizes inertial data recorded by a smartwatch and Laser Imaging Detection and Ranging (LiDAR) data to monitor worker postures, providing a basis for the assessment compliant with the ISO 11226 European standard. ","The study used a combination of inertial measurement data from a smartwatch and LiDAR technology. This approach evaluates upper-body (dominant arm, shoulder, and trunk) and lower-body (legs) postures without compromising the worker's privacy or revealing their identity. ","The system demonstrated high effectiveness, recognizing worker postures with a mean accuracy close to 98%. This capability indicates potential to improve worker health by identifying poor posture and reducing the risk of musculoskeletal disorders, in line with Industry 5.0's focus on worker well-being and rights protection."
62,A novel knowledge graph development for industry design: A case study on indirect coal liquefaction process,"Wang, Zhenhua and Zhang, Beike and Gao, Dong",To be synthesized from abstract,Problem described in context,Data described in abstract,Methods implied through analysis,Results inferred from discussion,"Hazard and operability analysis (HAZOP) is a remarkable representative in industrial safety engineering. However, a great storehouse of industrial safety knowledge (ISK) in HAZOP reports has not been thoroughly exploited. In order to reuse and unlock the value of ISK and optimize HAZOP, we have developed a novel knowledge graph for industrial safety (ISKG) with HAZOP as the carrier through bridging data science and engineering design. Specifically, firstly, considering that the knowledge contained in HAZOP reports of different processes in industry is not the same, we creatively developed a general ISK standardization framework, it provides a practical scheme for integrating HAZOP reports from various processes and uniformly representing the ISK with diverse expressions. Secondly, we conceive a novel and reliable information extraction model based on deep learning combined with data science, it can effectively mine ISK from HAZOP reports, which alleviates the obstacle of ISK extraction caused by the particularity of HAZOP text. Finally, we build ISK triples and store them in the Neo4j graph database. We take indirect coal liquefaction process as a case study to develop ISKG, and its oriented applications can optimize HAZOP and mine the potential of ISK, which is of great significance to improve the security of the system and enhance prevention awareness for people. ISKG containing the ISK standardization framework and the information extraction model sets an example of the interaction between data science and engineering design, which can enlighten other researchers and extend the perspectives of industrial safety. © 2022 Elsevier B.V.","The main purpose of the study was to develop a novel knowledge graph for industrial safety (ISKG) with HAZOP as the carrier, aimed at reusing and unlocking the value of Industrial Safety Knowledge (ISK) and optimizing HAZOP processes. ","The challenge addressed was the insufficient exploitation of the vast storehouse of Industrial Safety Knowledge (ISK) contained in HAZOP reports across different industrial processes, which had not been thoroughly harnessed due to varying expressions and standardization issues. ","The study used data from HAZOP reports of various industrial processes, focusing particularly on the indirect coal liquefaction process as a case study. ","The study employed a combination of deep learning and data science to create a novel and reliable information extraction model that effectively mines ISK from HAZOP reports. Additionally, a general ISK standardization framework was developed to integrate and uniformly represent this knowledge. ","The main findings include the successful creation of ISK triples and their storage within the Neo4j graph database. The development of ISKG not only optimizes HAZOP procedures but also enhances understanding and prevention awareness, demonstrating the significant potential of merging data science with engineering design to improve system security and ISK utilization. "
